Content Image:./db/pikachu.jpg | Style Image:./db/starry.jpg | savename: pikachu-starry
iters:     1 | loss:7.358e+02 | content: 0.000e+00 | style_cost:7.358e-02
iters:   500 | loss:6.825e+00 | content: 5.903e-01 | style_cost:6.234e-04
iters:  1000 | loss:4.085e+00 | content: 6.138e-01 | style_cost:3.471e-04
iters:  1500 | loss:2.978e+00 | content: 6.229e-01 | style_cost:2.355e-04
iters:  2000 | loss:2.335e+00 | content: 6.273e-01 | style_cost:1.707e-04
iters:  2500 | loss:1.928e+00 | content: 6.295e-01 | style_cost:1.298e-04
iters:  3000 | loss:1.670e+00 | content: 6.302e-01 | style_cost:1.040e-04
iters:  3500 | loss:1.505e+00 | content: 6.299e-01 | style_cost:8.755e-05
iters:  4000 | loss:1.396e+00 | content: 6.290e-01 | style_cost:7.669e-05
iters:  4500 | loss:1.319e+00 | content: 6.274e-01 | style_cost:6.911e-05
iters:  5000 | loss:1.263e+00 | content: 6.259e-01 | style_cost:6.374e-05
iters:  5500 | loss:1.222e+00 | content: 6.234e-01 | style_cost:5.983e-05
iters:  6000 | loss:1.186e+00 | content: 6.216e-01 | style_cost:5.644e-05
iters:  6500 | loss:1.194e+00 | content: 6.210e-01 | style_cost:5.728e-05
iters:  7000 | loss:1.136e+00 | content: 6.178e-01 | style_cost:5.187e-05
iters:  7500 | loss:1.120e+00 | content: 6.163e-01 | style_cost:5.034e-05
iters:  8000 | loss:1.106e+00 | content: 6.148e-01 | style_cost:4.914e-05
iters:  8500 | loss:1.092e+00 | content: 6.131e-01 | style_cost:4.793e-05
iters:  9000 | loss:1.082e+00 | content: 6.118e-01 | style_cost:4.700e-05
iters:  9500 | loss:1.085e+00 | content: 6.112e-01 | style_cost:4.737e-05
iters: 10000 | loss:1.065e+00 | content: 6.095e-01 | style_cost:4.557e-05
iters: 10500 | loss:1.058e+00 | content: 6.084e-01 | style_cost:4.497e-05
iters: 11000 | loss:1.052e+00 | content: 6.074e-01 | style_cost:4.451e-05
iters: 11500 | loss:1.048e+00 | content: 6.064e-01 | style_cost:4.415e-05
iters: 12000 | loss:1.043e+00 | content: 6.059e-01 | style_cost:4.369e-05
iters: 12500 | loss:1.039e+00 | content: 6.051e-01 | style_cost:4.340e-05
iters: 13000 | loss:1.035e+00 | content: 6.045e-01 | style_cost:4.307e-05
iters: 13500 | loss:1.031e+00 | content: 6.038e-01 | style_cost:4.270e-05
iters: 14000 | loss:1.060e+00 | content: 6.042e-01 | style_cost:4.554e-05
iters: 14500 | loss:1.027e+00 | content: 6.026e-01 | style_cost:4.243e-05
iters: 15000 | loss:1.024e+00 | content: 6.022e-01 | style_cost:4.216e-05
iters: 15500 | loss:1.020e+00 | content: 6.017e-01 | style_cost:4.184e-05
iters: 16000 | loss:1.017e+00 | content: 6.013e-01 | style_cost:4.158e-05
iters: 16500 | loss:1.021e+00 | content: 6.003e-01 | style_cost:4.206e-05
iters: 17000 | loss:1.013e+00 | content: 6.004e-01 | style_cost:4.122e-05
iters: 17500 | loss:1.011e+00 | content: 6.001e-01 | style_cost:4.108e-05
iters: 18000 | loss:1.009e+00 | content: 5.995e-01 | style_cost:4.099e-05
iters: 18500 | loss:1.008e+00 | content: 5.995e-01 | style_cost:4.083e-05
iters: 19000 | loss:1.007e+00 | content: 5.989e-01 | style_cost:4.084e-05
iters: 19500 | loss:1.009e+00 | content: 5.982e-01 | style_cost:4.110e-05
iters: 20000 | loss:1.003e+00 | content: 5.984e-01 | style_cost:4.043e-05
