Content Image:./db/girl.jpg | Style Image:./db/starry.jpg | savename: girl-starry
iters:     1 | loss:3.484e+02 | content: 0.000e+00 | style_cost:3.484e-02
iters:   500 | loss:1.511e+00 | content: 4.295e-01 | style_cost:1.082e-04
iters:  1000 | loss:1.025e+00 | content: 4.447e-01 | style_cost:5.806e-05
iters:  1500 | loss:8.688e-01 | content: 4.459e-01 | style_cost:4.229e-05
iters:  2000 | loss:7.839e-01 | content: 4.428e-01 | style_cost:3.411e-05
iters:  2500 | loss:7.277e-01 | content: 4.380e-01 | style_cost:2.897e-05
iters:  3000 | loss:6.862e-01 | content: 4.327e-01 | style_cost:2.536e-05
iters:  3500 | loss:6.530e-01 | content: 4.272e-01 | style_cost:2.258e-05
iters:  4000 | loss:6.267e-01 | content: 4.217e-01 | style_cost:2.050e-05
iters:  4500 | loss:6.041e-01 | content: 4.174e-01 | style_cost:1.868e-05
iters:  5000 | loss:5.821e-01 | content: 4.124e-01 | style_cost:1.697e-05
iters:  5500 | loss:5.664e-01 | content: 4.085e-01 | style_cost:1.579e-05
iters:  6000 | loss:5.455e-01 | content: 4.053e-01 | style_cost:1.402e-05
iters:  6500 | loss:5.313e-01 | content: 4.020e-01 | style_cost:1.293e-05
iters:  7000 | loss:5.196e-01 | content: 3.994e-01 | style_cost:1.202e-05
iters:  7500 | loss:5.106e-01 | content: 3.976e-01 | style_cost:1.131e-05
iters:  8000 | loss:5.119e-01 | content: 3.954e-01 | style_cost:1.165e-05
iters:  8500 | loss:4.950e-01 | content: 3.932e-01 | style_cost:1.017e-05
iters:  9000 | loss:4.895e-01 | content: 3.916e-01 | style_cost:9.791e-06
iters:  9500 | loss:4.868e-01 | content: 3.905e-01 | style_cost:9.631e-06
iters: 10000 | loss:4.817e-01 | content: 3.891e-01 | style_cost:9.259e-06
iters: 10500 | loss:4.801e-01 | content: 3.883e-01 | style_cost:9.173e-06
iters: 11000 | loss:4.764e-01 | content: 3.869e-01 | style_cost:8.947e-06
iters: 11500 | loss:4.751e-01 | content: 3.862e-01 | style_cost:8.894e-06
iters: 12000 | loss:4.728e-01 | content: 3.856e-01 | style_cost:8.723e-06
iters: 12500 | loss:4.706e-01 | content: 3.846e-01 | style_cost:8.591e-06
iters: 13000 | loss:4.695e-01 | content: 3.842e-01 | style_cost:8.533e-06
iters: 13500 | loss:4.683e-01 | content: 3.836e-01 | style_cost:8.468e-06
iters: 14000 | loss:4.695e-01 | content: 3.834e-01 | style_cost:8.610e-06
iters: 14500 | loss:4.670e-01 | content: 3.824e-01 | style_cost:8.457e-06
iters: 15000 | loss:4.649e-01 | content: 3.821e-01 | style_cost:8.282e-06
iters: 15500 | loss:4.645e-01 | content: 3.817e-01 | style_cost:8.281e-06
iters: 16000 | loss:4.632e-01 | content: 3.812e-01 | style_cost:8.200e-06
iters: 16500 | loss:4.632e-01 | content: 3.806e-01 | style_cost:8.252e-06
iters: 17000 | loss:4.625e-01 | content: 3.806e-01 | style_cost:8.187e-06
iters: 17500 | loss:4.611e-01 | content: 3.801e-01 | style_cost:8.105e-06
iters: 18000 | loss:4.611e-01 | content: 3.798e-01 | style_cost:8.127e-06
iters: 18500 | loss:4.598e-01 | content: 3.796e-01 | style_cost:8.018e-06
iters: 19000 | loss:4.592e-01 | content: 3.792e-01 | style_cost:8.005e-06
iters: 19500 | loss:4.701e-01 | content: 3.796e-01 | style_cost:9.057e-06
iters: 20000 | loss:4.584e-01 | content: 3.788e-01 | style_cost:7.959e-06
