Content Image:./db/boy.jpg | Style Image:./db/starry.jpg | savename: boy-starry
iters:     1 | loss:4.653e+02 | content: 0.000e+00 | style_cost:4.653e-02
iters:   500 | loss:2.592e+00 | content: 5.545e-01 | style_cost:2.037e-04
iters:  1000 | loss:1.542e+00 | content: 5.645e-01 | style_cost:9.775e-05
iters:  1500 | loss:1.248e+00 | content: 5.651e-01 | style_cost:6.833e-05
iters:  2000 | loss:1.105e+00 | content: 5.634e-01 | style_cost:5.417e-05
iters:  2500 | loss:1.016e+00 | content: 5.607e-01 | style_cost:4.552e-05
iters:  3000 | loss:9.520e-01 | content: 5.575e-01 | style_cost:3.946e-05
iters:  3500 | loss:9.020e-01 | content: 5.539e-01 | style_cost:3.481e-05
iters:  4000 | loss:8.600e-01 | content: 5.501e-01 | style_cost:3.099e-05
iters:  4500 | loss:8.228e-01 | content: 5.462e-01 | style_cost:2.765e-05
iters:  5000 | loss:7.882e-01 | content: 5.422e-01 | style_cost:2.459e-05
iters:  5500 | loss:7.557e-01 | content: 5.381e-01 | style_cost:2.176e-05
iters:  6000 | loss:7.241e-01 | content: 5.344e-01 | style_cost:1.897e-05
iters:  6500 | loss:6.945e-01 | content: 5.305e-01 | style_cost:1.639e-05
iters:  7000 | loss:6.669e-01 | content: 5.270e-01 | style_cost:1.400e-05
iters:  7500 | loss:6.431e-01 | content: 5.234e-01 | style_cost:1.197e-05
iters:  8000 | loss:6.211e-01 | content: 5.208e-01 | style_cost:1.004e-05
iters:  8500 | loss:6.033e-01 | content: 5.178e-01 | style_cost:8.556e-06
iters:  9000 | loss:5.891e-01 | content: 5.154e-01 | style_cost:7.373e-06
iters:  9500 | loss:5.815e-01 | content: 5.133e-01 | style_cost:6.822e-06
iters: 10000 | loss:5.697e-01 | content: 5.116e-01 | style_cost:5.804e-06
iters: 10500 | loss:5.673e-01 | content: 5.103e-01 | style_cost:5.697e-06
iters: 11000 | loss:5.583e-01 | content: 5.084e-01 | style_cost:4.994e-06
iters: 11500 | loss:5.557e-01 | content: 5.071e-01 | style_cost:4.861e-06
iters: 12000 | loss:5.508e-01 | content: 5.059e-01 | style_cost:4.485e-06
iters: 12500 | loss:5.486e-01 | content: 5.050e-01 | style_cost:4.366e-06
iters: 13000 | loss:5.473e-01 | content: 5.037e-01 | style_cost:4.362e-06
iters: 13500 | loss:5.464e-01 | content: 5.030e-01 | style_cost:4.344e-06
iters: 14000 | loss:5.430e-01 | content: 5.024e-01 | style_cost:4.060e-06
iters: 14500 | loss:5.415e-01 | content: 5.016e-01 | style_cost:3.994e-06
iters: 15000 | loss:5.407e-01 | content: 5.010e-01 | style_cost:3.973e-06
iters: 15500 | loss:5.392e-01 | content: 5.004e-01 | style_cost:3.886e-06
iters: 16000 | loss:5.429e-01 | content: 4.995e-01 | style_cost:4.341e-06
iters: 16500 | loss:5.378e-01 | content: 4.991e-01 | style_cost:3.870e-06
iters: 17000 | loss:5.370e-01 | content: 4.988e-01 | style_cost:3.818e-06
iters: 17500 | loss:5.456e-01 | content: 4.985e-01 | style_cost:4.708e-06
iters: 18000 | loss:5.372e-01 | content: 4.975e-01 | style_cost:3.975e-06
iters: 18500 | loss:5.352e-01 | content: 4.977e-01 | style_cost:3.746e-06
iters: 19000 | loss:5.345e-01 | content: 4.969e-01 | style_cost:3.760e-06
iters: 19500 | loss:5.347e-01 | content: 4.968e-01 | style_cost:3.792e-06
iters: 20000 | loss:5.336e-01 | content: 4.961e-01 | style_cost:3.746e-06
