Content Image:./db/shaohui.jpg | Style Image:./db/starry.jpg | savename: shaohui-starry
iters:     1 | loss:4.701e+02 | content: 0.000e+00 | style_cost:4.701e-02
iters:   500 | loss:2.926e+00 | content: 5.582e-01 | style_cost:2.368e-04
iters:  1000 | loss:1.707e+00 | content: 5.701e-01 | style_cost:1.137e-04
iters:  1500 | loss:1.364e+00 | content: 5.718e-01 | style_cost:7.917e-05
iters:  2000 | loss:1.197e+00 | content: 5.711e-01 | style_cost:6.257e-05
iters:  2500 | loss:1.094e+00 | content: 5.691e-01 | style_cost:5.251e-05
iters:  3000 | loss:1.021e+00 | content: 5.665e-01 | style_cost:4.548e-05
iters:  3500 | loss:9.639e-01 | content: 5.634e-01 | style_cost:4.005e-05
iters:  4000 | loss:9.154e-01 | content: 5.599e-01 | style_cost:3.555e-05
iters:  4500 | loss:8.721e-01 | content: 5.562e-01 | style_cost:3.159e-05
iters:  5000 | loss:8.318e-01 | content: 5.523e-01 | style_cost:2.795e-05
iters:  5500 | loss:7.960e-01 | content: 5.488e-01 | style_cost:2.472e-05
iters:  6000 | loss:7.586e-01 | content: 5.448e-01 | style_cost:2.138e-05
iters:  6500 | loss:7.265e-01 | content: 5.409e-01 | style_cost:1.856e-05
iters:  7000 | loss:6.975e-01 | content: 5.376e-01 | style_cost:1.599e-05
iters:  7500 | loss:6.769e-01 | content: 5.341e-01 | style_cost:1.429e-05
iters:  8000 | loss:6.539e-01 | content: 5.314e-01 | style_cost:1.224e-05
iters:  8500 | loss:6.401e-01 | content: 5.285e-01 | style_cost:1.116e-05
iters:  9000 | loss:6.271e-01 | content: 5.265e-01 | style_cost:1.006e-05
iters:  9500 | loss:6.182e-01 | content: 5.245e-01 | style_cost:9.370e-06
iters: 10000 | loss:6.114e-01 | content: 5.227e-01 | style_cost:8.866e-06
iters: 10500 | loss:6.060e-01 | content: 5.212e-01 | style_cost:8.476e-06
iters: 11000 | loss:6.149e-01 | content: 5.204e-01 | style_cost:9.443e-06
iters: 11500 | loss:5.965e-01 | content: 5.182e-01 | style_cost:7.829e-06
iters: 12000 | loss:6.004e-01 | content: 5.177e-01 | style_cost:8.270e-06
iters: 12500 | loss:5.918e-01 | content: 5.157e-01 | style_cost:7.616e-06
iters: 13000 | loss:5.869e-01 | content: 5.150e-01 | style_cost:7.185e-06
iters: 13500 | loss:5.864e-01 | content: 5.146e-01 | style_cost:7.186e-06
iters: 14000 | loss:5.820e-01 | content: 5.134e-01 | style_cost:6.868e-06
iters: 14500 | loss:5.846e-01 | content: 5.130e-01 | style_cost:7.152e-06
iters: 15000 | loss:5.778e-01 | content: 5.118e-01 | style_cost:6.601e-06
iters: 15500 | loss:5.771e-01 | content: 5.111e-01 | style_cost:6.600e-06
iters: 16000 | loss:5.758e-01 | content: 5.107e-01 | style_cost:6.517e-06
iters: 16500 | loss:5.731e-01 | content: 5.100e-01 | style_cost:6.314e-06
iters: 17000 | loss:5.861e-01 | content: 5.103e-01 | style_cost:7.582e-06
iters: 17500 | loss:5.699e-01 | content: 5.087e-01 | style_cost:6.124e-06
iters: 18000 | loss:5.695e-01 | content: 5.083e-01 | style_cost:6.118e-06
iters: 18500 | loss:5.677e-01 | content: 5.078e-01 | style_cost:5.988e-06
iters: 19000 | loss:5.667e-01 | content: 5.073e-01 | style_cost:5.937e-06
iters: 19500 | loss:5.657e-01 | content: 5.069e-01 | style_cost:5.879e-06
iters: 20000 | loss:5.655e-01 | content: 5.066e-01 | style_cost:5.892e-06
